contact.deg,ankle.deg,liftoff.deg
toe,24.6748479188709,-6.3058648637606,-20.701535513563
toe,25.2463339254236,-7.66634518090145,-22.0597768741859
toe,26.3201164111034,3.34534973949899,-23.3154989208586
toe,26.1959850354886,-1.44942320805737,-27.3072278177596
toe,27.3838481175969,4.20487705006912,-24.5951812747276
toe,28.5505642861209,6.12027850794937,-24.4351663210371
toe,22.9538196253587,-3.02642404758262,-28.024407308942
toe,28.9375938560359,1.73298189138642,-27.3838481175969
toe,23.823593243158,-5.15126829273457,-24.6405395186034
toe,25.7284113304725,1.25046879628572,-25.5181197467824
toe,22.4214526742572,-11.4203198722441,-22.8180180025085
toe,25.0029578681599,-3.616613405957,-25.3255047957581
toe,18.4917042325687,-12.4033538844203,-26.9435774315537
toe,26.3660455207047,0.178168419580806,-28.4316468557153
toe,27.3838481175969,3.27216805182889,-24.1752045429173
toe,23.9274199196602,-6.84908707999325,-20.2634872480774
toe,25.5332389920751,-1.95788228979737,-21.8666374009978
toe,27.9075822790698,0.681093297156532,-26.668993295298
toe,24.7457266776002,-6.95179910385656,-22.6272840292779
toe,24.7639357826026,-4.05671442595811,-23.4198226506238
toe,26.3454263830067,-2.43486395774368,-27.8480913337834
toe,25.1631828335354,-1.40678054933203,-26.8044902403721
heel,17.8776395143682,13.9836201231992,-32.4329065619664
heel,17.9323274422148,14.2513070623601,-29.8392979124551
heel,16.4213129539278,12.6488907056744,-28.2808207051684
heel,16.9344019296729,13.3852426141213,-24.2366818333109
heel,17.1484561064801,14.3583849312243,-23.5735239831173
heel,18.0426796116679,14.6875149656967,-22.8459360651835
heel,17.085596752515,13.2660205647843,-23.2893007160429
heel,19.0995361115645,14.5960231946397,-21.2613988639078
heel,19.0168315977991,15.5807004684952,-20.4293720771308
heel,16.9344019113658,13.8923621271951,-28.1356502218381
heel,19.2171647613031,16.9135984530323,-22.2793768508784
heel,19.1581765928974,14.457110711097,-28.1212084268459
heel,17.9725484228453,14.2548472843639,-19.1229508081495
heel,17.4920583666307,15.6289830580461,-22.0957883340371
heel,18.932936577622,16.3323928813232,-22.402587841338
heel,17.6946124266484,15.8992300752558,-23.3579367506772
heel,18.7580737101008,15.5338757916243,-22.3454657188964
